City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Hermanus,-34.4187,19.2345,52.81,73,97,4.27,ZA,overcast clouds
1,Kapaa,22.0752,-159.319,84.18,71,75,14.97,US,broken clouds
2,Dunedin,-45.8742,170.5036,38.34,85,100,20.51,NZ,overcast clouds
3,Gat,31.61,34.7642,74.39,100,0,0.6,IL,clear sky
4,Povenets,62.8487,34.8262,45.77,95,100,6.55,RU,overcast clouds
5,Punta Arenas,-53.15,-70.9167,46.51,71,75,11.5,CL,broken clouds
6,Butaritari,3.0707,172.7902,81.88,75,30,18.14,KI,light rain
7,Te Anau,-45.4167,167.7167,38.98,75,75,10.49,NZ,broken clouds
8,Bhag,29.0415,67.8239,83.37,37,0,4.25,PK,clear sky
9,Bandarbeyla,9.4942,50.8122,76.05,86,100,19.33,SO,overcast clouds
10,Champerico,14.3,-91.9167,82.94,75,100,6.26,GT,overcast clouds
11,Ladario,-19.0047,-57.6017,80.76,51,0,2.71,BR,clear sky
12,Atuona,-9.8,-139.0333,77.09,67,73,21.36,PF,broken clouds
13,Chuy,-33.6971,-53.4616,53.29,88,0,6.02,UY,clear sky
14,East London,-33.0153,27.9116,63.27,81,100,12.57,ZA,overcast clouds
15,Vaini,-21.2,-175.2,78.96,83,75,8.05,TO,broken clouds
16,Primorsk,46.7348,36.3443,53.28,59,0,4.85,UA,clear sky
17,Ponta Do Sol,32.6667,-17.1,71.71,72,40,1.99,PT,scattered clouds
18,Ilulissat,69.2167,-51.1,30.22,59,18,6.91,GL,few clouds
19,Lavrentiya,65.5833,-171.0,37.85,70,7,7.4,RU,clear sky
20,Hilo,19.7297,-155.09,85.73,69,0,9.22,US,clear sky
21,Codrington,-38.2667,141.9667,51.73,95,100,17.43,AU,light rain
22,Santa Cruz,-17.8,-63.1667,80.06,69,73,10.36,BO,broken clouds
23,North Bend,43.4065,-124.2243,62.92,90,100,0.0,US,overcast clouds
24,Sudogda,55.9539,40.8629,49.93,85,100,7.63,RU,overcast clouds
25,Altay,47.8667,88.1167,39.15,32,0,5.68,CN,clear sky
26,Cape Town,-33.9258,18.4232,59.38,64,0,2.3,ZA,clear sky
27,Gamba,-2.65,10.0,74.66,85,96,4.63,GA,overcast clouds
28,Klaksvik,62.2266,-6.589,50.92,82,0,37.18,FO,clear sky
29,Mataura,-46.1927,168.8643,39.47,98,100,11.68,NZ,light rain
30,Busselton,-33.65,115.3333,58.26,69,33,17.36,AU,scattered clouds
31,Oyo,7.85,3.9333,71.29,98,100,3.71,NG,overcast clouds
32,Ushuaia,-54.8,-68.3,44.26,87,75,11.5,AR,moderate rain
33,Kaitangata,-46.2817,169.8464,38.01,90,100,19.15,NZ,overcast clouds
34,Narsaq,60.9167,-46.05,41.22,93,100,6.51,GL,light rain
35,Dikson,73.5069,80.5464,32.95,78,100,20.11,RU,overcast clouds
36,Kahului,20.8947,-156.47,84.22,77,75,19.57,US,light rain
37,Kaeo,-35.1,173.7833,67.32,64,100,12.01,NZ,light rain
38,Sao Filipe,14.8961,-24.4956,78.04,78,82,1.83,CV,broken clouds
39,Sao Lourenco Do Sul,-31.3653,-51.9783,56.79,87,0,7.0,BR,clear sky
40,Shatrovo,56.5167,64.6333,43.34,51,100,8.48,RU,overcast clouds
41,Tuktoyaktuk,69.4541,-133.0374,33.8,86,20,10.36,CA,few clouds
42,Cremona,45.2333,9.9333,64.81,94,0,5.44,IT,clear sky
43,Jamestown,42.097,-79.2353,53.24,71,100,6.91,US,overcast clouds
44,Stokmarknes,68.5646,14.9108,51.78,66,75,16.11,NO,light rain
45,Norman Wells,65.282,-126.8329,39.24,81,75,8.05,CA,broken clouds
46,Lompoc,34.6391,-120.4579,78.94,81,20,12.66,US,few clouds
47,Petropavlovsk-Kamchatskiy,53.0452,158.6483,45.19,100,100,6.71,RU,light intensity shower rain
48,Kjollefjord,70.9457,27.3465,42.85,87,100,4.61,NO,overcast clouds
49,Harbour Breton,47.4833,-55.7983,52.86,75,0,17.6,CA,clear sky
50,Yellowknife,62.456,-114.3525,36.12,64,40,6.91,CA,scattered clouds
51,Cayenne,4.9333,-52.3333,78.84,83,0,1.14,GF,clear sky
52,New Norfolk,-42.7826,147.0587,54.72,48,99,8.08,AU,overcast clouds
53,Kungurtug,50.5994,97.5228,26.11,44,36,0.16,RU,scattered clouds
54,Nabire,-3.3667,135.4833,85.53,65,99,3.0,ID,overcast clouds
55,Tilichiki,60.4667,166.1,42.4,97,100,11.65,RU,moderate rain
56,Songea,-10.6833,35.65,58.6,53,85,3.87,TZ,overcast clouds
57,Chokurdakh,70.6333,147.9167,23.86,85,97,6.93,RU,overcast clouds
58,Dong Xoai,11.5333,106.9167,78.85,85,99,1.79,VN,overcast clouds
59,Touros,-5.1989,-35.4608,76.32,77,23,13.89,BR,few clouds
60,Saint Anthony,45.0205,-93.218,71.13,55,75,5.75,US,broken clouds
61,Saryg-Sep,51.5,95.6,22.8,70,4,2.28,RU,clear sky
